Date,Symbol,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Quarter,Year
2023-12-31,ALC,-4420000.0,0.085,2294000000.0,974000000.0,1221000000.0,4208000000.0,2242000000.0,1021000000.0,-155000000.0,189000000.0,1021580000.0,974000000.0,8416000000.0,496500000.0,493000000.0,1.96,1.98,974000000.0,974000000.0,974000000.0,974000000.0,974000000.0,-142000000.0,832000000.0,-155000000.0,189000000.0,1039000000.0,4208000000.0,828000000.0,3209000000.0,5247000000.0,4208000000.0,9455000000.0,9370000000.0,4,2023
2022-12-31,ALC,-21804000.0,0.276,1799000000.0,335000000.0,1123000000.0,3969000000.0,1720000000.0,597000000.0,-130000000.0,134000000.0,392196000.0,335000000.0,8045000000.0,494400000.0,491400000.0,0.68,0.68,335000000.0,335000000.0,335000000.0,335000000.0,335000000.0,128000000.0,463000000.0,-130000000.0,134000000.0,672000000.0,4076000000.0,702000000.0,3068000000.0,4748000000.0,3969000000.0,8717000000.0,8654000000.0,4,2022
2021-12-31,ALC,-3500000.0,0.1,1792000000.0,376000000.0,1219000000.0,3639000000.0,1757000000.0,538000000.0,-127000000.0,120000000.0,407500000.0,376000000.0,7711000000.0,493400000.0,490000000.0,0.76,0.77,376000000.0,376000000.0,376000000.0,376000000.0,376000000.0,42000000.0,418000000.0,-127000000.0,120000000.0,580000000.0,4072000000.0,842000000.0,3076000000.0,4652000000.0,3639000000.0,8291000000.0,8222000000.0,4,2021
2020-12-31,ALC,-4264000.0,0.164,1138000000.0,-531000000.0,1623000000.0,3893000000.0,1112000000.0,-511000000.0,-127000000.0,124000000.0,-509264000.0,-531000000.0,7315000000.0,489000000.0,489000000.0,-1.09,-1.09,-531000000.0,-531000000.0,-531000000.0,-531000000.0,-531000000.0,-104000000.0,-635000000.0,-127000000.0,124000000.0,-482000000.0,3422000000.0,673000000.0,2694000000.0,2940000000.0,3893000000.0,6833000000.0,6763000000.0,4,2020
2023-12-31,BLCO,-40800000.0,0.4,601000000.0,-260000000.0,382000000.0,1500000000.0,499000000.0,117000000.0,-268000000.0,283000000.0,-198800000.0,-260000000.0,3942000000.0,350500000.0,350500000.0,-0.74,-0.74,-260000000.0,-260000000.0,-260000000.0,-248000000.0,-248000000.0,82000000.0,-166000000.0,-268000000.0,283000000.0,204000000.0,2300000000.0,324000000.0,1736000000.0,2504000000.0,1642000000.0,4146000000.0,5899000000.0,4,2023
2022-12-31,BLCO,-1572600.0,0.2621,604000000.0,6000000.0,379000000.0,1384000000.0,598000000.0,219000000.0,-140000000.0,146000000.0,10427400.0,6000000.0,3548000000.0,350000000.0,350000000.0,0.02,0.02,6000000.0,6000000.0,6000000.0,15000000.0,15000000.0,58000000.0,73000000.0,-140000000.0,146000000.0,220000000.0,2029000000.0,307000000.0,1478000000.0,2249000000.0,1519000000.0,3768000000.0,5122000000.0,4,2022
2021-12-31,BLCO,-9433962.264151,0.393082,757000000.0,182000000.0,415000000.0,1344000000.0,733000000.0,318000000.0,0.0,0.0,196566037.735849,182000000.0,3419000000.0,350000000.0,350000000.0,0.52,0.52,182000000.0,182000000.0,182000000.0,193000000.0,193000000.0,125000000.0,318000000.0,0.0,0.0,346000000.0,1952000000.0,271000000.0,1389000000.0,2298000000.0,1467000000.0,3765000000.0,3737000000.0,4,2021
2020-12-31,BLCO,4770000.0,0.265,714000000.0,-18000000.0,442000000.0,1166000000.0,732000000.0,290000000.0,3000000.0,0.0,-31230000.0,-18000000.0,3114000000.0,350000000.0,350000000.0,-0.05,-0.05,-18000000.0,-18000000.0,-18000000.0,-17000000.0,-17000000.0,307000000.0,290000000.0,3000000.0,0.0,298000000.0,1829000000.0,253000000.0,1253000000.0,2127000000.0,1285000000.0,3412000000.0,3381000000.0,4,2020
2023-12-31,COO,-2009000.0,0.287,892900000.0,294200000.0,367700000.0,1053800000.0,885900000.0,518200000.0,-105300000.0,105300000.0,299191000.0,294200000.0,3060100000.0,199200000.0,198000000.0,1.4775,1.485,294200000.0,294200000.0,294200000.0,294200000.0,294200000.0,118700000.0,412900000.0,-105300000.0,105300000.0,533100000.0,1824800000.0,137400000.0,1501200000.0,2357900000.0,1235300000.0,3593200000.0,3593200000.0,4,2023
2022-12-31,COO,4831600.0,0.188,853000000.0,385800000.0,346100000.0,1002200000.0,878700000.0,532600000.0,-57300000.0,57300000.0,364931600.0,385800000.0,2800800000.0,198800000.0,197200000.0,1.94,1.956389,385800000.0,385800000.0,385800000.0,385800000.0,385800000.0,89500000.0,475300000.0,-57300000.0,57300000.0,507600000.0,1632000000.0,110300000.0,1342200000.0,2139600000.0,1168800000.0,3308400000.0,3308400000.0,4,2022
