Date,Symbol,Free Cash Flow,Capital Expenditure,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Net Issuance Payments Of Debt,Investing Cash Flow,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Change In Working Capital,Change In Inventory,Change In Receivables,Other Non Cash Items,Depreciation And Amortization,Net Income From Continuing Operations,Time Frame,Quarter,Year
2024-06-30,AAPL,26707000000.0,-2151000000.0,26635000000.0,33921000000.0,-7286000000.0,-36017000000.0,-3253000000.0,-127000000.0,-2151000000.0,-2151000000.0,28858000000.0,1684000000.0,-12000000.0,-2094000000.0,7000000.0,2850000000.0,21448000000.0,Quarterly,2,2024
2024-03-31,AAPL,20694000000.0,-1996000000.0,33921000000.0,41974000000.0,-8053000000.0,-30433000000.0,-3148000000.0,-310000000.0,-1996000000.0,-1996000000.0,22690000000.0,-5764000000.0,190000000.0,8767000000.0,-982000000.0,2836000000.0,23636000000.0,Quarterly,1,2024
2023-12-31,AAPL,37503000000.0,-2392000000.0,41974000000.0,30737000000.0,11237000000.0,-30585000000.0,-3984000000.0,1927000000.0,-2392000000.0,-2392000000.0,39895000000.0,1123000000.0,-137000000.0,11124000000.0,-989000000.0,2848000000.0,33916000000.0,Quarterly,4,2023
2023-09-30,AAPL,19435000000.0,-2163000000.0,30737000000.0,29898000000.0,839000000.0,-23153000000.0,1993000000.0,2394000000.0,-2163000000.0,-2163000000.0,21598000000.0,-6060000000.0,952000000.0,-21137000000.0,-576000000.0,2653000000.0,22956000000.0,Quarterly,3,2023
2023-06-30,AAPL,24287000000.0,-2093000000.0,29898000000.0,27129000000.0,2769000000.0,-24048000000.0,-283000000.0,437000000.0,-2093000000.0,-2093000000.0,26380000000.0,749000000.0,-22000000.0,-3661000000.0,81000000.0,3052000000.0,19881000000.0,Quarterly,2,2023
2024-06-30,ALC,410000000.0,-120000000.0,1372000000.0,1141000000.0,226000000.0,-171000000.0,-15000000.0,-133000000.0,-92000000.0,-92000000.0,530000000.0,-29000000.0,,,3000000.0,311000000.0,223000000.0,Quarterly,2,2024
2024-03-31,ALC,198000000.0,-143000000.0,1141000000.0,1094000000.0,57000000.0,-66000000.0,-43000000.0,-218000000.0,-112000000.0,-112000000.0,341000000.0,-287000000.0,,,4000000.0,296000000.0,248000000.0,Quarterly,1,2024
2023-06-30,ALC,101000000.0,-224000000.0,661000000.0,889000000.0,-233000000.0,-145000000.0,-3000000.0,-413000000.0,-117000000.0,-117000000.0,325000000.0,-65000000.0,,,-116000000.0,297000000.0,169000000.0,Quarterly,2,2023
2024-06-30,BLCO,-57000000.0,-72000000.0,302000000.0,325000000.0,-19000000.0,40000000.0,43000000.0,-74000000.0,-72000000.0,-72000000.0,15000000.0,-14000000.0,-27000000.0,-74000000.0,9000000.0,110000000.0,-148000000.0,Quarterly,2,2024
2024-03-31,BLCO,-26000000.0,-67000000.0,325000000.0,334000000.0,-4000000.0,12000000.0,17000000.0,-57000000.0,-67000000.0,-67000000.0,41000000.0,11000000.0,-86000000.0,-92000000.0,22000000.0,110000000.0,-163000000.0,Quarterly,1,2024
