Date,Symbol,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized Ebitda,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,Ebitda,Ebit,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted Eps,Basic Eps,Diluted Ni Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Unusual Items,Total Unusual Items Excluding Goodwill,Interest Income,Other Income Expense,Special Income Charges,Other Special Charges,Interest Income Non Operating,Minority Interests,Other Non Operating Income Expenses,Gain On Sale Of Ppe,Write Off,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,General And Administrative Expense,Other Gand A,Salaries And Wages,Time Frame,Quarter,Year
2024-06-30,ALC,0.0,0.204,641000000.0,223000000.0,311000000.0,1122000000.0,641000000.0,330000000.0,-38000000.0,50000000.0,223000000.0,223000000.0,2178000000.0,318000000.0,497000000.0,494500000.0,0.45,0.45,223000000.0,223000000.0,223000000.0,223000000.0,223000000.0,57000000.0,280000000.0,-38000000.0,-12000000.0,50000000.0,318000000.0,1056000000.0,-1000000.0,220000000.0,837000000.0,1374000000.0,1122000000.0,2496000000.0,2482000000.0,,,,,,,,,,,,,,,,,,,,,Quarterly,2,2024
2024-03-31,ALC,0.0,0.26,676000000.0,248000000.0,296000000.0,1077000000.0,676000000.0,380000000.0,-33000000.0,45000000.0,248000000.0,248000000.0,2091000000.0,368000000.0,496600000.0,493800000.0,0.5,0.5,248000000.0,248000000.0,248000000.0,248000000.0,248000000.0,87000000.0,335000000.0,-33000000.0,-12000000.0,45000000.0,368000000.0,1014000000.0,13000000.0,199000000.0,802000000.0,1382000000.0,1077000000.0,2459000000.0,2444000000.0,,,,,,,,,,,,,,,,,,,,,Quarterly,1,2024
2023-12-31,ALC,0.0,0.085,215000000.0,427000000.0,,1062000000.0,215000000.0,215000000.0,12000000.0,47000000.0,427000000.0,427000000.0,2144000000.0,208000000.0,,,,,427000000.0,427000000.0,427000000.0,427000000.0,427000000.0,-259000000.0,168000000.0,12000000.0,-14000000.0,47000000.0,208000000.0,1082000000.0,80000000.0,208000000.0,794000000.0,1290000000.0,1062000000.0,2352000000.0,2332000000.0,,,,,,,,,,,,,,,,,,,,,Quarterly,4,2023
2023-09-30,ALC,0.0,0.143,285000000.0,204000000.0,,1040000000.0,285000000.0,285000000.0,-55000000.0,47000000.0,204000000.0,204000000.0,2036000000.0,293000000.0,496300000.0,493200000.0,0.41,0.41,204000000.0,204000000.0,204000000.0,204000000.0,204000000.0,34000000.0,238000000.0,-55000000.0,8000000.0,47000000.0,293000000.0,996000000.0,-3000000.0,201000000.0,798000000.0,1289000000.0,1040000000.0,2329000000.0,2303000000.0,,,,,,,,,,,,,,,,,,,,,Quarterly,3,2023
2023-06-30,ALC,0.0,0.207,558000000.0,169000000.0,297000000.0,1059000000.0,558000000.0,261000000.0,-57000000.0,48000000.0,169000000.0,169000000.0,2152000000.0,270000000.0,495700000.0,493200000.0,0.34,0.34,169000000.0,169000000.0,169000000.0,169000000.0,169000000.0,44000000.0,213000000.0,-57000000.0,9000000.0,48000000.0,270000000.0,1093000000.0,44000000.0,217000000.0,832000000.0,1363000000.0,1059000000.0,2422000000.0,2402000000.0,,,,,,,,,,,,,,,,,,,,,Quarterly,2,2023
2023-03-31,ALC,,,,,302000000.0,,,,,,,,,,495500000.0,492400000.0,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarterly,1,2023
2024-06-30,BLCO,-2100000.0,0.15,150000000.0,-151000000.0,110000000.0,447000000.0,136000000.0,26000000.0,-99000000.0,102000000.0,-139100000.0,-151000000.0,1176000000.0,26000000.0,351800000.0,351800000.0,-0.43,-0.43,-151000000.0,-151000000.0,-151000000.0,-148000000.0,-148000000.0,72000000.0,-76000000.0,-99000000.0,,102000000.0,40000000.0,693000000.0,,84000000.0,535000000.0,733000000.0,483000000.0,1216000000.0,1213000000.0,-14000000.0,-14000000.0,3000000.0,-17000000.0,-11000000.0,,3000000.0,-3000000.0,-3000000.0,1000000.0,5000000.0,7000000.0,-3000000.0,74000000.0,74000000.0,74000000.0,74000000.0,,,,Quarterly,2,2024
2024-03-31,BLCO,-1350000.0,0.15,128000000.0,-167000000.0,110000000.0,388000000.0,119000000.0,9000000.0,-96000000.0,99000000.0,-159350000.0,-167000000.0,1084000000.0,6000000.0,351100000.0,351100000.0,-0.48,-0.48,-167000000.0,-167000000.0,-167000000.0,-163000000.0,-163000000.0,73000000.0,-90000000.0,-96000000.0,,99000000.0,15000000.0,660000000.0,,82000000.0,504000000.0,675000000.0,424000000.0,1099000000.0,1094000000.0,-9000000.0,-9000000.0,3000000.0,-9000000.0,-9000000.0,1000000.0,3000000.0,-4000000.0,,4000000.0,,12000000.0,,74000000.0,74000000.0,74000000.0,74000000.0,,,,Quarterly,1,2024
2023-12-31,BLCO,-3157894.736842,0.105263,188000000.0,-54000000.0,116000000.0,425000000.0,158000000.0,42000000.0,-96000000.0,99000000.0,-27157894.736842,-54000000.0,1104000000.0,49000000.0,350800000.0,350800000.0,-0.15,-0.15,-54000000.0,-54000000.0,-54000000.0,-51000000.0,-51000000.0,-6000000.0,-57000000.0,-96000000.0,,99000000.0,69000000.0,643000000.0,,80000000.0,483000000.0,712000000.0,461000000.0,1173000000.0,2936000000.0,-30000000.0,-30000000.0,3000000.0,-30000000.0,-20000000.0,1000000.0,3000000.0,-3000000.0,,,,19000000.0,-10000000.0,80000000.0,80000000.0,80000000.0,80000000.0,,,,Quarterly,4,2023
2023-09-30,BLCO,-12800000.0,0.4,155000000.0,-84000000.0,82000000.0,357000000.0,123000000.0,41000000.0,-72000000.0,76000000.0,-64800000.0,-84000000.0,939000000.0,40000000.0,350800000.0,350800000.0,-0.24,-0.24,-84000000.0,-84000000.0,-84000000.0,-80000000.0,-80000000.0,45000000.0,-35000000.0,-72000000.0,,76000000.0,68000000.0,547000000.0,,82000000.0,418000000.0,615000000.0,392000000.0,1007000000.0,1004000000.0,-32000000.0,-32000000.0,4000000.0,-31000000.0,-29000000.0,2000000.0,4000000.0,-4000000.0,1000000.0,,0.0,27000000.0,-3000000.0,47000000.0,47000000.0,47000000.0,47000000.0,,,,Quarterly,3,2023
